# ln(x) precompute for all valid bfloat16 inputs (MPFR 4.2.1)
# decomposition: i1=u>>7 (exp field), i2=u&0x7f (mantissa)
# x = x1*x2, x1=2^(i1-127), x2=1+i2/128; ln(x)=T1[i1]+T2[i2]
# work precision = 200 bits, bf16 significand = 8 bits, RNDN
# columns: u,i1,i2,subnormal,x_hex,lnx_exact_hex,y_hex,y_bits
0,0,0,1,0x0p+0,-inf,-inf,0xFF80
131,1,3,0,0x4.18p-128,-0x5.7503985374eb19be3141511b596a562cea3f70257dfe348438p+4,-0x5.78p+4,0xC2AF
132,1,4,0,0x4.2p-128,-0x5.74e472535a611227a1fd35fe00272ca9348c02b9f89364f98p+4,-0x5.78p+4,0xC2AF
133,1,5,0,0x4.28p-128,-0x5.74c58881c44bf32b8dd64d4bc950af80c990294a57263a6c6p+4,-0x5.78p+4,0xC2AF
134,1,6,0,0x4.3p-128,-0x5.74a6d9f7e2aaf646a439913dacc6954055bc40b39be8c1db98p+4,-0x5.78p+4,0xC2AF
135,1,7,0,0x4.38p-128,-0x5.748865d40b765032c178800e4f62e80f73ad8a9ab6ad5cdcb8p+4,-0x5.78p+4,0xC2AF
136,1,8,0,0x4.4p-128,-0x5.746a2b3993b6c8f5c9fadac1a7bfbf1a92473bfb8f17484d38p+4,-0x5.78p+4,0xC2AF
137,1,9,0,0x4.48p-128,-0x5.744c2950aa0a301a4fbb64d941e6f85d453920745fecf3fbc8p+4,-0x5.78p+4,0xC2AF
138,1,10,0,0x4.5p-128,-0x5.742e5f463284c11fac48eeec1a481f53fddac4290eee33119p+4,-0x5.78p+4,0xC2AF
139,1,11,0,0x4.58p-128,-0x5.7410cc4ba3e05a3243683fc67c20411f62df32c50a3489c7e8p+4,-0x5.78p+4,0xC2AF
140,1,12,0,0x4.6p-128,-0x5.73f36f96e5eb296f17978aae4d7df2973a6f91d875ea9cb468p+4,-0x5.7p+4,0xC2AE
141,1,13,0,0x4.68p-128,-0x5.73d6486231282c197b15e3a6c03ea26eaf55aceab8f64e5b58p+4,-0x5.7p+4,0xC2AE
142,1,14,0,0x4.7p-128,-0x5.73b955ebef9487f2852403a35b6f0a2a758532abd9390da4cp+4,-0x5.7p+4,0xC2AE
143,1,15,0,0x4.78p-128,-0x5.739c97769e8569f7787fa75508fe3f3a4615014102fb6dfa9p+4,-0x5.7p+4,0xC2AE
144,1,16,0,0x4.8p-128,-0x5.73800c48b192afca3738a64eff2f754e43e6c50ac4f32b112p+4,-0x5.7p+4,0xC2AE
145,1,17,0,0x4.88p-128,-0x5.7363b3ac7683327e32fc0cad8bf472e4365d8526b46fae455p+4,-0x5.7p+4,0xC2AE
146,1,18,0,0x4.9p-128,-0x5.73478ceffa3012fc02f2f70506c384df9ab060f5f63a39b718p+4,-0x5.7p+4,0xC2AE
