# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
132,1,4,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
133,1,5,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
134,1,6,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
135,1,7,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
136,1,8,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
137,1,9,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
138,1,10,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
139,1,11,LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
140,1,12,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
141,1,13,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
142,1,14,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
143,1,15,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
144,1,16,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
145,1,17,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
146,1,18,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
147,1,19,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
148,1,20,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
149,1,21,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
150,1,22,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
151,1,23,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
152,1,24,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
153,1,25,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
154,1,26,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
155,1,27,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
156,1,28,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
157,1,29,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
158,1,30,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
159,1,31,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
160,1,32,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
161,1,33,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
162,1,34,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
163,1,35,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
164,1,36,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
165,1,37,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
166,1,38,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
167,1,39,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
168,1,40,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
169,1,41,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
170,1,42,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
171,1,43,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
172,1,44,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
173,1,45,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
174,1,46,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
175,1,47,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
176,1,48,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
177,1,49,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
178,1,50,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
179,1,51,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
180,1,52,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
181,1,53,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
182,1,54,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
183,1,55,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
184,1,56,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
185,1,57,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
186,1,58,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
187,1,59,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
188,1,60,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
189,1,61,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
190,1,62,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
191,1,63,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
192,1,64,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
193,1,65,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
194,1,66,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
195,1,67,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
196,1,68,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
197,1,69,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
198,1,70,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
199,1,71,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
200,1,72,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
201,1,73,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
202,1,74,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
203,1,75,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
204,1,76,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
205,1,77,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
206,1,78,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
207,1,79,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
208,1,80,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
209,1,81,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
210,1,82,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
211,1,83,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
212,1,84,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
213,1,85,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
214,1,86,LP,closed,-0x5.74p+4,-0x5.6cp+4,-0x5.7p+4,0xC2AE,-87.25,-86.75
